ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
13,furusawa00,23,V79,n,a,5.6,12C,6,m,31,78.6,0.184,0.02,0.427,0.0341
13,furusawa00,24,V79,n,a,5.6,12C,6,m,40.1,55.6,0.184,0.02,0.283,0.1601
13,furusawa00,25,V79,n,a,5.6,12C,6,m,40.6,54.8,0.184,0.02,0.619,0.0253
13,furusawa00,26,V79,n,a,5.6,12C,6,m,50.3,41.7,0.184,0.02,0.841,0.0228
13,furusawa00,27,V79,n,a,5.6,12C,6,m,57.6,35.4,0.184,0.02,0.549,0.0739
13,furusawa00,28,V79,n,a,5.6,12C,6,m,60,33.5,0.184,0.02,0.631,0.0898
13,furusawa00,29,V79,n,a,5.6,12C,6,m,78.5,25.2,0.184,0.02,1.027,0.0205
13,furusawa00,30,V79,n,a,5.6,12C,6,m,80.6,24.5,0.184,0.02,0.781,0.1052
13,furusawa00,31,V79,n,a,5.6,12C,6,m,88,21.9,0.184,0.02,0.971,0.057
13,furusawa00,32,V79,n,a,5.6,12C,6,m,102,18.1,0.184,0.02,1.066,0.0589
13,furusawa00,33,V79,n,a,5.6,12C,6,m,117,14.9,0.184,0.02,1.315,0.0281
13,furusawa00,34,V79,n,a,5.6,12C,6,m,127,13.9,0.184,0.02,1.08,0.0211
13,furusawa00,35,V79,n,a,5.6,12C,6,m,137,12.9,0.184,0.02,1.477,0
13,furusawa00,36,V79,n,a,5.6,12C,6,m,142,12.4,0.184,0.02,1.446,0.0014
13,furusawa00,37,V79,n,a,5.6,12C,6,m,206,7.6,0.184,0.02,1.323,0.0002
13,furusawa00,38,V79,n,a,5.6,12C,6,m,232,6.37,0.184,0.02,1.064,0.0009
13,furusawa00,39,V79,n,a,5.6,12C,6,m,255,5.64,0.184,0.02,1.07,0.0005
13,furusawa00,40,V79,n,a,5.6,12C,6,m,276,5.09,0.184,0.02,1.091,0.0461
13,furusawa00,41,V79,n,a,5.6,12C,6,m,360,3.42,0.184,0.02,1.07,0.0005
13,furusawa00,42,V79,n,a,5.6,12C,6,m,432,2.55,0.184,0.02,0.844,0
13,furusawa00,43,V79,n,a,5.6,12C,6,m,493,1.98,0.184,0.02,0.837,0.0001
13,furusawa00,44,V79,n,a,5.6,12C,6,m,502,1.92,0.184,0.02,0.779,0
13,furusawa00,45,V79,n,a,5.6,20Ne,10,m,62.1,130,0.184,0.02,0.511,0.0643
13,furusawa00,46,V79,n,a,5.6,20Ne,10,m,62.1,130,0.184,0.02,0.286,0.0775
13,furusawa00,47,V79,n,a,5.6,20Ne,10,m,62.2,129,0.184,0.02,0.634,0.0291
13,furusawa00,48,V79,n,a,5.6,20Ne,10,m,80,84.2,0.184,0.02,0.555,0.0862
13,furusawa00,49,V79,n,a,5.6,20Ne,10,m,84.6,78.6,0.184,0.02,0.672,0.0628
13,furusawa00,50,V79,n,a,5.6,20Ne,10,m,96.9,68.1,0.184,0.02,0.761,0.091
13,furusawa00,51,V79,n,a,5.6,20Ne,10,m,110,57.5,0.184,0.02,0.774,0.0571
13,furusawa00,52,V79,n,a,5.6,20Ne,10,m,146,38.4,0.184,0.02,1.087,0.0291
13,furusawa00,53,V79,n,a,5.6,20Ne,10,m,158,35.7,0.184,0.02,1.225,0
13,furusawa00,54,V79,n,a,5.6,20Ne,10,m,178,31.1,0.184,0.02,1.259,0
13,furusawa00,55,V79,n,a,5.6,20Ne,10,m,182,30.2,0.184,0.02,1.169,0
13,furusawa00,56,V79,n,a,5.6,20Ne,10,m,219,24.7,0.184,0.02,1.15,0.0006
13,furusawa00,57,V79,n,a,5.6,20Ne,10,m,239,21.7,0.184,0.02,1.299,0.0011
13,furusawa00,58,V79,n,a,5.6,20Ne,10,m,277,18.2,0.184,0.02,1.048,0
13,furusawa00,59,V79,n,a,5.6,20Ne,10,m,287,17.5,0.184,0.02,1.212,0
13,furusawa00,60,V79,n,a,5.6,20Ne,10,m,373,12.8,0.184,0.02,0.968,0
13,furusawa00,61,V79,n,a,5.6,20Ne,10,m,528,7.71,0.184,0.02,0.675,0
13,furusawa00,62,V79,n,a,5.6,20Ne,10,m,569,7.1,0.184,0.02,0.409,0
13,furusawa00,63,HSG,n,a,6,3He,2,m,18.5,10.2,0.313,0.0615,0.543,0.0625
13,furusawa00,64,HSG,n,a,6,3He,2,m,18.6,10.1,0.313,0.0615,0.523,0.0986
13,furusawa00,65,HSG,n,a,6,3He,2,m,23.6,7.48,0.313,0.0615,0.662,0.0692
13,furusawa00,66,HSG,n,a,6,3He,2,m,24,7.3,0.313,0.0615,0.851,0.0766
13,furusawa00,67,HSG,n,a,6,3He,2,m,32.4,4.99,0.313,0.0615,1.221,0
13,furusawa00,68,HSG,n,a,6,3He,2,m,33,4.89,0.313,0.0615,1.309,0.0316
13,furusawa00,69,HSG,n,a,6,3He,2,m,46,3.12,0.313,0.0615,1.738,0.0364
13,furusawa00,70,HSG,n,a,6,3He,2,m,46,3.12,0.313,0.0615,1.328,0.1016
13,furusawa00,71,HSG,n,a,6,3He,2,m,53.8,2.61,0.313,0.0615,1.705,0.0509
13,furusawa00,72,HSG,n,a,6,3He,2,m,54,2.6,0.313,0.0615,1.889,0.0528
13,furusawa00,73,HSG,n,a,6,3He,2,m,70.3,1.79,0.313,0.0615,2.283,0
13,furusawa00,74,HSG,n,a,6,3He,2,m,71,1.76,0.313,0.0615,2.564,0
13,furusawa00,75,HSG,n,a,6,12C,6,m,22.5,126,0.313,0.0615,0.161,0.1239
13,furusawa00,76,HSG,n,a,6,12C,6,m,30,82.3,0.313,0.0615,0.429,0.0814
13,furusawa00,77,HSG,n,a,6,12C,6,m,30.3,81.1,0.313,0.0615,0.359,0.1106
13,furusawa00,78,HSG,n,a,6,12C,6,m,30.6,79.9,0.313,0.0615,0.483,0.1099
13,furusawa00,79,HSG,n,a,6,12C,6,m,40.2,55.4,0.313,0.0615,0.72,0.1348
13,furusawa00,80,HSG,n,a,6,12C,6,m,42.5,51.9,0.313,0.0615,0.805,0.0971
