Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
V79,n,a,5.6,58Ni,28,m,3700.0,4.5,0.3174
V79,n,a,5.6,58Ni,28,m,3350.0,6.1,0.3356
V79,n,a,5.6,84Kr,36,m,5800.0,2.83,0.1541
V79,n,a,5.6,84Kr,36,m,4000.0,11.0,0.2659
V79,n,a,5.6,84Kr,36,m,3950.0,11.1,0.284
V79,n,a,5.6,84Kr,36,m,3190.0,17.9,0.3997
V79,n,a,5.6,84Kr,36,m,3150.0,18.0,0.4304
V79,n,a,5.6,132Xe,54,m,9100.0,3.75,0.1128
V79,n,a,5.6,132Xe,54,m,8800.0,5.3,0.1101
V79,n,a,5.6,132Xe,54,m,8500.0,6.2,0.1317
V79,n,a,5.6,132Xe,54,m,8400.0,6.51,0.1712
V79,n,a,5.6,132Xe,54,m,7600.0,10.1,0.1655
V79,n,a,5.6,132Xe,54,m,7400.0,11.3,0.1887
V79,n,a,5.6,132Xe,54,m,7000.0,13.3,0.1684
V79,n,a,5.6,132Xe,54,m,6600.0,15.8,0.2122
V79,n,a,5.6,132Xe,54,m,6300.0,17.7,0.2004
V79,n,a,5.6,238U,92,m,12500.0,1.1,0.0899
V79,n,a,5.6,238U,92,m,13500.0,1.7,0.0899
V79,n,a,5.6,238U,92,m,15000.0,2.5,0.0804
V79,n,a,5.6,238U,92,m,15200.0,2.75,0.0874
V79,n,a,5.6,238U,92,m,15500.0,3.2,0.0923
V79,n,a,5.6,238U,92,m,15700.0,3.85,0.085
V79,n,a,5.6,238U,92,m,15750.0,4.1,0.0948
V79,n,a,5.6,238U,92,m,15800.0,4.7,0.085
V79,n,a,5.6,238U,92,m,15600.0,6.9,0.1024
V79,n,a,5.6,238U,92,m,14400.0,12.3,0.1428
V79,n,a,5.6,238U,92,m,14000.0,13.3,0.1484
V79,n,a,5.6,238U,92,m,13800.0,13.7,0.1484
CHO,n,a,5.6,20Ne,10,m,30.25,396.0,1.5153
CHO,n,a,5.6,16O,8,m,21.4,325.0,1.4287
CHO,n,a,5.6,12C,6,m,13.3,270.0,1.5326
CHO,n,a,5.6,20Ne,10,m,410.0,11.0,2.4321
CHO,n,a,5.6,16O,8,m,265.0,11.0,2.8074
CHO,n,a,5.6,12C,6,m,150.0,11.0,3.5776
V79,n,a,5.6,238U,92,m,16500.0,5.0,0.1033
V79,n,a,5.6,12C,6,m,150.0,11.0,4.4667
AA,t,a,6.0,10B,5,m,40.0,36.6,1.9664
AA,t,a,6.0,10B,5,m,80.0,15.3,2.814
AA,t,a,6.0,10B,5,m,160.0,6.6,3.2525
C3H10T1/2,n,a,5.6,56Fe,26,m,500.0,300.0,1.8089
C3H10T1/2,n,a,5.6,238U,92,m,1900.0,960.0,0.8268
CHO,n,a,5.6,12C,6,m,150.0,11.0,2.9417
CHO,n,a,5.6,12C,6,m,32.0,77.0,1.9766
CHO,n,a,5.6,12C,6,m,16.6,190.0,1.572
CHO,n,a,5.6,12C,6,m,13.5,266.0,1.6594
CHO,n,a,5.6,16O,8,m,265.0,11.0,2.8527
CHO,n,a,5.6,16O,8,m,50.5,89.0,2.2296
CHO,n,a,5.6,16O,8,m,29.0,194.0,1.7512
CHO,n,a,5.6,16O,8,m,19.4,395.0,1.4966
V79,n,a,5.6,1H,1,m,16.9,1.9,1.7445
V79,n,a,5.6,1H,1,m,23.7,1.15,1.8958
V79,n,a,5.6,1H,1,m,31.0,0.76,3.3197
V79,n,a,5.6,4He,2,m,108.0,0.95,4.2218
AA8,n,a,5.6,12C,6,m,13.0,283.0,1.233
AA8,n,a,5.6,12C,6,m,30.0,83.0,1.4011
AA8,n,a,5.6,12C,6,m,50.0,43.0,2.061
AA8,n,a,5.6,56Fe,26,m,200.0,290.0,3.0232
HE,n,G1/G0,6.0,12C,6,m,22.0,126.0,1.9539
HE,n,G1/G0,6.0,12C,6,m,39.0,59.0,2.2162
HE,n,G1/G0,6.0,12C,6,m,68.0,29.3,2.4346
HE,n,G1/G0,6.0,12C,6,m,75.0,26.0,2.8141
HE,n,G1/G0,6.0,12C,6,m,110.0,16.4,3.5513
HE,n,G1/G0,6.0,12C,6,m,124.0,14.0,3.2992
HE,n,G1/G0,6.0,12C,6,m,148.0,11.2,2.9636
HE,n,G1/G0,6.0,12C,6,m,230.0,6.6,2.691
C32TG,t,a,6.0,12C,6,s,50.0,43.4,0.5221
